MANUALLY,EDITED,DATA,,,,,,
Timestamp,Did you wake up refreshed after your night of sleep?,Do you recall being awake for more than 10 minutes during the night?,"If you answered 'Yes' to the previous question, what did you do during this time?",Did anything in particular prevent you from sleeping earlier last night?,Did anything in particular prevent you from sleeping better?,How did you wake up?,"How many minutes before bedtime did you stop exposing yourself to blue light? (bright phone, TV, etc)","Is there anything important about or related to your night of sleep that was not covered in any of the questions in this questionnaire? If yes, what?"
6/19/2022,7,0,,1,0,0,0,0
6/20/2022,8,0,,0,0,0,0,0
6/21/2022,8,1,2,0,0,2,0,0
6/22/2022,7,0,,0,0,0,0,0
6/23/2022,7,0,,0,0,0,0,0
6/24/2022,7,1,2,0,0,0,0,0
6/25/2022,8,0,,0,0,0,0,0
6/26/2022,6,0,,0,0,0,0,1
6/27/2022,7,0,,1,0,0,0,0
6/28/2022,6,0,,1,0,0,0,0
6/29/2022,5,1,2,1,0,0,0,0
6/30/2022,6,0,,1,0,0,0,0
7/1/2022,1,0,,1,2,1,0,0
7/2/2022,9,0,,0,0,2,0,0
7/3/2022,6,0,,0,0,2,0,0
7/4/2022,7,0,,0,0,0,0,0
7/5/2022,5,0,,1,0,0,0,0
7/6/2022,6,0,,1,0,1,0,0
7/7/2022,4,1,2,0,0,0,0,1
7/8/2022,5,0,,0,0,0,0,1
7/9/2022,7,0,,0,0,0,0,0
7/10/2022,6,1,2,1,1,0,0,0
7/11/2022,7,0,,0,0,0,0,0
7/12/2022,8,0,,0,0,0,0,0
7/13/2022,7,0,,1,0,0,0,0
7/14/2022,5,1,1 - 2 ,1,0,0,0,0
7/15/2022,7,0,,1,0,0,0,0
7/16/2022,6,1,0,1,4,2,0,0
7/17/2022,6,1,0,0,1,0,0,0
7/18/2022,8,1,2,0,0,2,0,0
7/19/2022,9,0,,1,0,0,0,0
7/20/2022,7,0,,1,0,2,0,0
7/21/2022,7,0,,1,0,2,0,0
7/22/2022,7,0,,1,0,2,0,0
7/23/2022,7,0,,1,0,0,0,0
7/24/2022,7,1,0,0,0,0,0,0
7/25/2022,8,1,0,1,0,0,0,0
7/26/2022,6,1,0,1,0,0,0,1
7/28/2022,7,1,1 - 2 ,0,1,0,0,0
7/29/2022,7,0,,1,0,0,0,0
7/30/2022,7,1,2,0,1,2,0,0
7/31/2022,8,0,,0,1,0,0,0
8/1/2022,8,1,2,0,1,0,0,0
8/2/2022,7,0,,0,0,2,0,0
8/3/2022,8,0,,1,0,0,0,0
8/4/2022,8,0,,0,0,2,0,0
8/5/2022,7,0,,0,0,1,0,0
8/6/2022,7,0,,1,0,0,0,0
8/7/2022,7,0,,0,3,0,0,0
8/8/2022,7,0,,0,0,0,0,0
8/9/2022,8,0,,1,0,0,0,0
8/10/2022,7,0,,1,0,0,0,0
8/11/2022,6,1,0,1,0,0,0,0
8/12/2022,5,1,3,1,0,0,0,0
8/13/2022,6,0,,0,0,0,0,0
8/14/2022,7,0,,0,0,0,0,0
8/15/2022,6,0,,1,0,2,0,0
8/16/2022,7,0,,0,0,0,0,0
8/17/2022,7,0,,1,0,0,0,0
8/18/2022,7,0,,0,0,0,0,0
8/19/2022,6,0,,1,0,0,0,0
8/20/2022,5,0,,1,0,1,0,0
8/21/2022,6,0,,0,0,0,0,0
8/22/2022,7,1,1 - 2 ,0,0,2,0,0
8/23/2022,6,0,,1,0,2,0,0
8/24/2022,6,0,,1,0,0,0,0
8/26/2022,6,1,1,0,1,0,0,0
8/28/2022,7,0,,0,0,0,0,0
8/29/2022,7,0,,1,0,0,0,0
8/30/2022,7,0,,0,0,0,0,0
8/31/2022,7,0,,1,0,0,0,0
9/1/2022,8,0,,0,0,0,0,0
9/2/2022,7,0,,1,0,1,0,0
9/3/2022,7,1,0,0,0,2,0,0
9/4/2022,8,1,0,0,0,0,0,0
9/5/2022,7,0,,1,0,2,0,0
9/6/2022,8,0,,0,0,0,0,0
9/7/2022,8,1,2,0,0,0,0,0
9/8/2022,8,0,,1,0,0,0,0
9/9/2022,8,0,,0,0,0,0,0
9/10/2022,8,0,,0,0,0,0,0
9/11/2022,8,1,2,0,0,0,0,0
9/12/2022,9,1,2,0,0,0,0,0
9/13/2022,7,1,0,0,0,0,0,0
9/14/2022,7,0,,1,0,2,0,0
9/15/2022,8,0,,0,0,0,0,0
9/16/2022,7,0,,0,0,0,0,0
9/17/2022,8,0,,1,0,2,0,0
9/18/2022,7,0,,0,0,0,0,0
9/19/2022,7,0,,0,0,0,0,0
9/20/2022,9,0,,0,0,0,0,0
9/21/2022,9,0,,0,0,0,0,0
9/22/2022,9,0,,1,0,0,0,0
9/23/2022,8,1,2,1,0,0,0,0
9/24/2022,8,0,,0,0,0,0,0
9/25/2022,7,0,,0,0,0,0,0
9/26/2022,7,0,,0,0,0,0,0
9/27/2022,8,0,,0,0,0,0,0
9/28/2022,8,0,,0,0,0,0,0
9/29/2022,7,0,,0,0,0,0,0
9/30/2022,9,0,,0,0,0,0,0
10/1/2022,8,0,,0,0,0,0,0
10/2/2022,7,0,,0,0,0,0,0
10/3/2022,7,0,,0,0,0,0,0
10/4/2022,8,0,,0,0,0,0,0
10/5/2022,9,0,,0,0,0,0,0
10/6/2022,8,0,,0,0,0,0,0
10/7/2022,8,0,,1,0,0,0,0
10/8/2022,8,0,,0,0,0,0,0
10/10/2022,8,1,2,0,0,0,0,0
10/11/2022,8,0,,1,0,0,0,0
10/12/2022,7,0,,0,0,0,0,0
10/13/2022,7,0,,0,0,0,0,0
10/14/2022,8,1,2,0,0,0,0,0
10/15/2022,8,0,,1,0,0,0,0
10/16/2022,7,1,0,1,2,0,0,0
10/17/2022,8,1,0,0,0,0,0,0
10/18/2022,8,0,,0,0,0,0,0
10/19/2022,9,1,2,1,0,0,0,0
10/20/2022,8,0,,0,0,0,0,0
10/21/2022,8,0,,0,0,0,0,0
10/22/2022,8,0,,0,0,0,0,0
10/23/2022,8,0,,0,0,0,0,0
10/24/2022,7,0,,0,0,0,0,0
10/25/2022,8,0,,0,0,0,0,0
10/26/2022,8,0,,0,0,2,0,0
10/27/2022,8,0,,0,0,0,0,0
10/28/2022,8,0,,0,0,0,0,0
10/29/2022,8,1,0,1,0,2,0,0
10/30/2022,7,0,,0,0,2,0,0
10/31/2022,9,0,,0,0,0,0,0
11/1/2022,8,0,,0,0,0,0,0
11/2/2022,8,0,,0,0,0,0,0
11/3/2022,8,1,2,0,0,0,0,0
11/4/2022,8,0,,0,1,0,0,0
11/5/2022,9,0,,0,0,0,0,0
11/6/2022,8,0,,1,0,2,0,0
11/7/2022,7,0,,0,0,2,0,0
11/8/2022,8,0,,0,0,0,0,0
11/9/2022,8,0,,0,0,0,0,0
11/10/2022,7,0,,0,0,0,0,0
11/11/2022,8,0,,1,0,0,1,0
11/12/2022,5,0,,1,0,1,0,0
11/13/2022,7,0,,1,0,1,1,0
11/14/2022,7,0,,1,1,0,0,0
11/15/2022,7,0,,0,0,0,0,0
11/16/2022,8,0,,0,0,0,0,0
11/17/2022,7,0,,1,0,0,0,0
11/18/2022,7,0,,0,0,0,0,0
11/19/2022,6,0,,0,0,0,0,0
11/21/2022,7,0,,0,0,0,0,0
,,,,,,,,
,,0: No,0: I stayed in bed trying to sleep,0: No,0: Nothing,0: With an alarm,0: Less than 15 minutes,0: normal
,,1: Yes,"1: I used a smart device (phone, laptop...)",1: Yes,1: Temperature,1: Someone or something else woke me up,1: 15 to 30 minutes,1: special circumstances
,,,2: I went to the toilet,,2: Comfort,2: Naturally,2: 30 to 45 minutes,
,,,3: I went to drink water,,3: Nap,,3: More than 45 minutes,
,,,,,4: Noise,,,
,,,,,,,,
,,,For later: Remove column C and add in this one another option for 'does not recall being awake for more than...',,,,,
