,date,Total Sleep Duration,Sleep Score,Awake Time,Sleep Latency,Bedtime Start,Bedtime End,Average Resting Heart Rate,Readiness Score,index
0,2022-06-18,28680,79,3060,1050,2022-06-18T00:13:39+02:00,2022-06-18T09:02:39+02:00,61.79,70,0
1,2022-06-19,25470,80,2730,840,2022-06-18T23:51:27+02:00,2022-06-19T07:41:27+02:00,56.29,85,1
2,2022-06-21,31290,88,2490,600,2022-06-20T23:00:15+02:00,2022-06-21T08:23:15+02:00,56.05,90,2
3,2022-06-22,26640,81,2400,390,2022-06-21T23:17:15+02:00,2022-06-22T07:21:15+02:00,56.07,88,3
4,2022-06-23,26310,78,2130,1290,2022-06-22T23:33:37+02:00,2022-06-23T07:27:37+02:00,57.22,84,4
5,2022-06-25,29370,81,1530,360,2022-06-24T23:28:38+02:00,2022-06-25T08:03:38+02:00,56.52,90,5
6,2022-06-26,16260,63,1320,210,2022-06-25T23:12:27+02:00,2022-06-26T04:05:27+02:00,54.39,74,6
7,2022-06-27,29130,82,2550,390,2022-06-27T00:20:14+01:00,2022-06-27T09:08:14+01:00,60.18,84,7
8,2022-06-28,24960,68,2700,150,2022-06-28T02:21:00+01:00,2022-06-28T10:02:00+01:00,67.49,68,8
9,2022-06-30,23640,69,1680,450,2022-06-30T03:04:50+01:00,2022-06-30T10:06:50+01:00,62.19,70,9
10,2022-07-02,36990,93,2250,450,2022-07-01T21:07:35+02:00,2022-07-02T08:01:35+02:00,62.36,77,10
11,2022-07-04,31650,86,1710,150,2022-07-03T22:18:57+02:00,2022-07-04T07:34:57+02:00,56.35,93,11
12,2022-07-05,27210,78,2310,210,2022-07-04T23:13:58+02:00,2022-07-05T07:25:58+02:00,58.48,91,12
13,2022-07-06,28590,81,2250,450,2022-07-05T23:53:56+02:00,2022-07-06T08:27:56+02:00,59.93,91,13
14,2022-07-07,21930,70,1650,360,2022-07-06T22:18:50+02:00,2022-07-07T04:51:50+02:00,55.03,83,14
15,2022-07-08,23670,77,2610,600,2022-07-07T23:19:02+03:00,2022-07-08T06:37:02+03:00,56.67,83,15
16,2022-07-09,29460,82,3000,210,2022-07-08T22:35:54+03:00,2022-07-09T07:36:54+03:00,57.58,90,16
17,2022-07-10,27900,81,1560,150,2022-07-09T23:35:15+03:00,2022-07-10T07:46:15+03:00,64.89,75,17
18,2022-07-11,31290,79,4050,1530,2022-07-10T22:19:46+03:00,2022-07-11T08:08:46+03:00,58.96,90,18
19,2022-07-12,27450,74,2970,360,2022-07-11T23:45:28+03:00,2022-07-12T08:12:28+03:00,59.28,83,19
20,2022-07-14,28140,74,3000,240,2022-07-14T00:12:12+03:00,2022-07-14T08:51:12+03:00,63.73,76,20
21,2022-07-15,30150,81,2310,270,2022-07-15T00:38:26+03:00,2022-07-15T09:39:26+03:00,56.09,93,21
22,2022-07-16,24150,65,2310,450,2022-07-16T02:23:39+03:00,2022-07-16T09:44:39+03:00,66.26,62,22
23,2022-07-17,30990,83,5730,450,2022-07-16T22:59:15+03:00,2022-07-17T09:11:15+03:00,59.78,87,23
24,2022-07-18,31380,82,3480,1230,2022-07-17T23:00:30+03:00,2022-07-18T08:41:30+03:00,53.88,94,24
25,2022-07-19,30510,83,2730,1020,2022-07-18T23:26:38+03:00,2022-07-19T08:40:38+03:00,58.84,84,25
26,2022-07-20,25980,66,2160,180,2022-07-20T01:26:00+03:00,2022-07-20T09:15:00+03:00,57.73,84,26
27,2022-07-22,20310,56,1530,540,2022-07-22T02:56:22+03:00,2022-07-22T09:00:22+03:00,66.22,58,27
28,2022-07-23,34260,87,1260,180,2022-07-22T22:11:37+03:00,2022-07-23T08:03:37+03:00,59.22,87,28
29,2022-07-24,31530,87,3270,630,2022-07-23T22:41:07+03:00,2022-07-24T08:21:07+03:00,55.53,94,29
30,2022-07-25,27960,75,3780,990,2022-07-25T01:18:08+03:00,2022-07-25T10:07:08+03:00,55.3,88,30
31,2022-07-26,27420,75,4080,990,2022-07-26T00:09:52+03:00,2022-07-26T08:54:52+03:00,59.41,83,31
32,2022-07-27,28440,77,2760,1260,2022-07-26T23:56:59+03:00,2022-07-27T08:36:59+03:00,56.6,87,32
33,2022-07-28,28260,71,4800,300,2022-07-27T23:56:46+03:00,2022-07-28T09:07:46+03:00,55.78,78,33
34,2022-07-29,28740,75,2880,150,2022-07-29T01:12:30+03:00,2022-07-29T09:59:30+03:00,58.41,89,34
35,2022-07-30,28710,77,3330,600,2022-07-30T00:47:35+03:00,2022-07-30T09:41:35+03:00,51.55,84,35
36,2022-07-31,28050,75,3870,1020,2022-07-31T00:17:06+03:00,2022-07-31T09:09:06+03:00,54.81,85,36
37,2022-08-01,30150,76,3030,690,2022-08-01T00:14:30+03:00,2022-08-01T09:27:30+03:00,54.51,92,37
38,2022-08-02,28920,71,3480,210,2022-08-02T01:06:59+03:00,2022-08-02T10:06:59+03:00,54.6,90,38
39,2022-08-03,26070,71,2010,660,2022-08-03T00:38:32+03:00,2022-08-03T08:26:32+03:00,58.85,76,39
40,2022-08-04,32190,78,2610,210,2022-08-04T00:38:31+03:00,2022-08-04T10:18:31+03:00,58.33,91,40
41,2022-08-05,30870,79,3690,270,2022-08-05T00:02:13+03:00,2022-08-05T09:38:13+03:00,56.46,85,41
42,2022-08-06,20700,64,2160,1230,2022-08-06T02:48:15+03:00,2022-08-06T09:09:15+03:00,60.47,74,42
43,2022-08-07,24960,58,5220,2340,2022-08-07T01:15:49+03:00,2022-08-07T09:38:49+03:00,54.29,71,43
44,2022-08-08,27390,73,1950,360,2022-08-08T01:18:36+03:00,2022-08-08T09:27:36+03:00,57.2,84,44
45,2022-08-09,21600,62,2100,870,2022-08-09T02:34:58+03:00,2022-08-09T09:09:58+03:00,59.18,68,45
46,2022-08-10,30300,78,2460,390,2022-08-10T00:32:02+03:00,2022-08-10T09:38:02+03:00,59.3,84,46
47,2022-08-11,24060,67,2760,1050,2022-08-11T01:40:54+03:00,2022-08-11T09:07:54+03:00,54.17,80,47
48,2022-08-12,22770,68,2070,180,2022-08-12T03:58:56+03:00,2022-08-12T10:52:56+03:00,71.5,60,48
49,2022-08-13,28800,80,3720,900,2022-08-13T00:37:35+03:00,2022-08-13T09:39:35+03:00,54.51,84,49
50,2022-08-14,24360,69,3480,840,2022-08-14T00:43:00+03:00,2022-08-14T08:27:00+03:00,53.99,78,50
51,2022-08-15,19920,60,1200,420,2022-08-15T04:39:13+03:00,2022-08-15T10:31:13+03:00,61.94,59,51
52,2022-08-16,32430,79,2430,210,2022-08-16T00:51:52+03:00,2022-08-16T10:32:52+03:00,57.11,84,52
53,2022-08-17,26760,74,1380,540,2022-08-17T01:03:47+03:00,2022-08-17T08:52:47+03:00,59.26,75,53
54,2022-08-18,30660,81,1980,420,2022-08-17T23:35:34+03:00,2022-08-18T08:39:34+03:00,59.68,80,54
55,2022-08-19,17490,52,1530,150,2022-08-19T04:13:19+03:00,2022-08-19T09:30:19+03:00,65.86,46,55
56,2022-08-20,15780,44,1740,270,2022-08-20T04:39:53+02:00,2022-08-20T09:31:53+02:00,63.09,60,56
57,2022-08-21,29580,82,2880,420,2022-08-20T22:10:55+02:00,2022-08-21T07:11:55+02:00,56.64,79,57
58,2022-08-22,25710,78,3690,660,2022-08-21T23:17:10+02:00,2022-08-22T07:27:10+02:00,57.74,71,58
59,2022-08-23,17040,59,1560,420,2022-08-23T02:21:31+02:00,2022-08-23T07:31:31+02:00,67.7,42,59
60,2022-08-24,22350,63,1410,180,2022-08-24T01:48:06+02:00,2022-08-24T08:24:06+02:00,64.35,51,60
61,2022-08-27,17580,55,1260,240,2022-08-27T04:30:20+02:00,2022-08-27T09:44:20+02:00,56.97,56,61
62,2022-08-28,33660,93,1500,300,2022-08-27T22:15:20+02:00,2022-08-28T08:01:20+02:00,47.29,81,62
63,2022-08-30,31980,81,2040,270,2022-08-29T22:51:22+02:00,2022-08-30T08:18:22+02:00,52.04,84,63
64,2022-08-31,31200,87,1620,210,2022-08-30T23:14:41+02:00,2022-08-31T08:21:41+02:00,57.79,89,64
