average_breath,average_breath_variation,average_heart_rate,average_hrv,awake_time,deep_sleep_duration,efficiency,got_ups,latency,light_sleep_duration,lowest_heart_rate,lowest_heart_rate_time_offset,rem_sleep_duration,restless_periods,score,sleep_midpoint,time_in_bed,total_sleep_duration,wake_ups,restless,bedtime_start_delta,bedtime_end_delta,contributors.total_sleep,contributors.deep_sleep,contributors.rem_sleep,contributors.efficiency,contributors.latency,contributors.restfulness,contributors.timing,readiness.contributors.activity_balance,readiness.contributors.body_temperature,readiness.contributors.hrv_balance,readiness.contributors.previous_day_activity,readiness.contributors.previous_night,readiness.contributors.recovery_index,readiness.contributors.resting_heart_rate,readiness.contributors.sleep_balance,readiness.score,readiness.temperature_deviation,readiness.temperature_trend_deviation,bedtime_end_seconds,bedtime_start_seconds,actual_day,prev_oura_score,bed_time
11.875,4.25,59.99,39.0,6600.0,6360.0,80.0,1.0,1140.0,13800.0,48.0,27090.0,7080.0,24.0,8.8,16590.0,33840,27240.0,5.0,4.0,-10122,23718,86.0,97.0,96.0,72.0,89.0,83.0,100.0,87.0,81.0,82.0,,78.0,18.0,89.0,86.0,77.0,0.28,0.33,23718.0,76278.0,2022-11-24,,21.233333333333334
11.75,4.25,57.58,47.0,2190.0,7470.0,93.0,0.0,1350.0,14400.0,50.0,14610.0,7140.0,30.0,9.2,16080.0,31200,29010.0,5.0,5.0,-7343,23857,93.0,98.0,97.0,98.0,78.0,82.0,100.0,86.0,85.0,83.0,,88.0,68.0,71.0,80.0,80.0,0.23,0.29,23857.0,79057.0,2022-11-26,9.1,22.052777777777777
11.5,4.125,54.82,51.0,2610.0,6840.0,92.0,0.0,1380.0,15060.0,46.0,12690.0,7530.0,28.0,9.2,16680.0,32040,29430.0,6.0,4.0,-9556,22484,95.0,98.0,97.0,97.0,78.0,81.0,100.0,97.0,99.0,85.0,75.0,87.0,80.0,100.0,85.0,87.0,-0.17,0.24,22484.0,76844.0,2022-11-28,9.6,21.455555555555556
11.25,4.125,56.21,53.0,1770.0,11940.0,95.0,0.0,390.0,9270.0,47.0,22290.0,10560.0,25.0,9.7,16740.0,33540,31770.0,1.0,4.0,-7629,25911,99.0,100.0,100.0,100.0,78.0,97.0,100.0,99.0,99.0,86.0,,100.0,40.0,97.0,89.0,87.0,0.07,0.16,25911.0,78771.0,2022-11-29,9.2,22.008333333333333
12.0,4.5,56.32,43.0,3600.0,7530.0,90.0,0.0,1110.0,17820.0,50.0,22290.0,8730.0,26.0,9.7,19170.0,37680,34080.0,4.0,4.0,-8255,29425,100.0,98.0,100.0,95.0,89.0,89.0,99.0,99.0,93.0,85.0,,99.0,81.0,71.0,96.0,89.0,0.14,0.16,29425.0,78145.0,2022-11-30,9.7,21.769444444444442
11.75,4.25,62.34,37.0,6000.0,5490.0,80.0,0.0,240.0,12930.0,50.0,29010.0,6000.0,20.0,8.1,14400.0,30420,24420.0,5.0,4.0,-9090,21330,74.0,96.0,90.0,72.0,70.0,83.0,100.0,98.0,71.0,77.0,,59.0,17.0,71.0,85.0,66.0,0.39,0.27,21330.0,77310.0,2022-12-02,8.9,21.549999999999997
11.375,4.25,57.01,46.0,2130.0,7170.0,93.0,0.0,750.0,16020.0,50.0,14610.0,6720.0,30.0,9.5,15960.0,32040,29910.0,4.0,5.0,-7664,24376,96.0,98.0,96.0,98.0,94.0,84.0,100.0,97.0,86.0,77.0,,95.0,95.0,71.0,86.0,86.0,0.23,0.34,24376.0,78736.0,2022-12-03,8.1,21.91111111111111
12.0,4.75,55.48,51.0,5280.0,8010.0,88.0,0.0,1050.0,20820.0,48.0,13650.0,9690.0,29.0,9.5,21630.0,43800,38520.0,5.0,4.0,-9899,33901,100.0,99.0,100.0,90.0,91.0,86.0,92.0,94.0,99.0,80.0,,94.0,100.0,89.0,99.0,93.0,0.07,0.29,33901.0,76501.0,2022-12-04,9.5,21.252777777777776
11.625,4.125,59.45,44.0,2130.0,6600.0,93.0,0.0,720.0,16170.0,50.0,15570.0,7620.0,32.0,9.4,16650.0,32520,30390.0,5.0,5.0,-7598,24922,97.0,97.0,97.0,99.0,91.0,80.0,100.0,94.0,98.0,79.0,,92.0,49.0,71.0,100.0,84.0,0.08,0.2,24922.0,78802.0,2022-12-05,9.5,21.944444444444443
11.75,4.125,56.17,43.0,5190.0,6540.0,86.0,0.0,1080.0,16860.0,49.0,20370.0,9630.0,27.0,9.4,19860.0,38220,33030.0,7.0,4.0,-9077,29143,100.0,97.0,100.0,86.0,91.0,80.0,100.0,92.0,88.0,77.0,,91.0,100.0,80.0,100.0,90.0,0.19,0.23,29143.0,77323.0,2022-12-06,9.4,21.58611111111111
