index,Activity,Eventually I got out of bed and moved to a place more quiet. ,I read a book,I stayed in bed trying to sleep,I used a smart device (phone,I went to the toilet,Knowing the alarm was set early,Light,Naturally,Noise,Nothing,Partner,Partner ,Temperature,Thinking of busy child’s birthday on Sunday ,With an alarm,blue_light,prevent_early_sleep,recall_awake,special_circumstances_wakeup,subjective_sleep_score,work Stress,prev_subjective_score,Mentally active,Physically active,Relaxed,Sleepy,Socially active,Stressful,Visitors made me go to bed later,alcohol_time,coffee_time,eat_bedtime,medication,special_circumstances,stress_levels,stress_relief_time,workout_time,actual_day
0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,6,0,,0,0,1,0,0,0,0,,14.0,2,1,1,2,,,2022-09-26
1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,3,0,1,0,7,0,6.0,0,0,1,0,0,0,0,,14.5,1,1,0,2,,,2022-09-27
2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,7,0,7.0,1,0,1,0,0,0,0,,14.5,1,1,0,1,,,2022-09-28
3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,7,0,7.0,0,0,1,0,0,0,0,,14.25,2,1,0,1,,,2022-09-29
4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,6,1,7.0,0,0,1,0,1,0,0,18.0,14.5,1,1,0,2,,,2022-09-30
5,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,8,0,6.0,0,0,1,0,1,0,0,18.0,13.0,2,1,0,1,,,2022-10-01
6,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,3,1,1,0,7,0,8.0,0,0,0,0,1,0,0,17.0,16.0,2,1,1,2,,,2022-10-02
7,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,8,0,7.0,0,0,1,0,0,0,0,17.0,14.0,2,1,0,1,,,2022-10-03
8,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,3,1,1,1,6,0,8.0,0,0,1,0,1,0,0,18.0,15.0,2,1,0,1,,,2022-10-04
9,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2,1,1,0,7,0,6.0,0,0,0,0,1,0,0,,14.0,2,1,1,1,,,2022-10-05
10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,0,7,0,7.0,0,0,0,0,1,0,0,,14.0,2,1,1,1,,,2022-10-06
11,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,2,0,1,0,7,0,7.0,0,0,1,1,0,0,0,,13.0,1,1,0,1,,,2022-10-07
12,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,7.0,0,0,1,0,0,0,0,17.5,11.0,2,1,0,1,,,2022-10-08
