Timestamp,"If you had coffee today, at what time did you take your last cup of coffee?","If you had alcohol today, at what time did you have your last drink?","If you did a workout today, at what time did your last workout end?","If you did a stress-relieving activity today (meditation, yoga, etc), at what time did you do your last one?",Did you take medication that might affect your sleep?,How much did you eat in the last 3 hours before going to bed?,How would you characterize the activities you did in the last 3 hours before going to bed?,How much stress and/or anxiety do you feel now?,Is there any particular reason why you think you might or might not sleep well tonight?
9/16/2022 21:42:34,3:30:00 PM,,,,No,0,"Physically active, Mentally active, Socially active",1,Late meeting (US time)
9/18/2022 0:11:44,2:00:00 PM,,,,"Melatonin, l-theanine",0,"Physically active, Mentally active",1,
9/24/2022 20:06:36,2:00:00 PM,7:00:00 PM,,5:00:00 PM,No,1,Relaxed,0,
9/26/2022 0:23:40,1:30:00 PM,,,,"Yes, medication that helps me sleep",0,Relaxed,2,
9/27/2022 8:10:25,4:00:00 PM,9:00:00 PM,,,"Yes, medication that helps me sleep",2,Stressful,5,
9/28/2022 8:19:37,1:30:00 PM,,8:00:00 PM,,"Yes, medication that helps me sleep",2,"Relaxed, Physically active",1,
9/30/2022 8:46:10,1:00:00 PM,6:00:00 PM,,,"Yes, medication that helps me sleep",0,"Stressful, Physically active",1,
10/2/2022 9:51:15,12:00:00 PM,,,6:00:00 PM,"Yes, medication that helps me sleep",3,Relaxed,1,
10/2/2022 20:43:44,12:00:00 PM,6:00:00 PM,,11:00:00 AM,"Yes, medication that helps me sleep",2,Mentally active,1,
10/5/2022 21:31:52,3:30:00 PM,7:00:00 PM,,,No,1,"Stressful, Mentally active, Socially active",0,Tomorrow presentation 
10/7/2022 7:46:40,1:00:00 PM,10:00:00 PM,,,No,0,"Stressful, Mentally active, Socially active",5,
10/8/2022 9:47:37,4:00:00 PM,,,,"Yes, medication that helps me sleep",0,"Mentally active, Socially active",1,
10/10/2022 6:49:51,4:00:00 PM,,8:00:00 PM,,"Yes, medication that helps me sleep",0,"Physically active, Mentally active, Socially active",3,
10/11/2022 22:34:55,4:00:00 PM,7:00:00 PM,10:00:00 AM,10:00:00 AM,"Yes, medication that helps me sleep",1,Mentally active,1,
10/13/2022 1:24:13,3:00:00 PM,8:00:00 PM,,,No,0,"Physically active, Mentally active, Socially active",5,Conference today
10/14/2022 0:57:39,3:00:00 PM,6:00:00 PM,,,"Yes, medication that helps me sleep",4,"Relaxed, Mentally active",1,
10/14/2022 22:26:43,2:00:00 PM,8:00:00 PM,9:00:00 PM,10:00:00 PM,No,0,"Relaxed, Physically active",0,
10/25/2022 7:54:05,12:00:00 PM,7:00:00 PM,,,"Yes, medication that helps me sleep",0,"Relaxed, Mentally active, Socially active",1,
10/28/2022 0:39:08,2:30:00 PM,,9:00:00 PM,,"Yes, medication that helps me sleep",0,"Relaxed, Physically active, Mentally active, Socially active",1,
10/31/2022 0:49:06,2:00:00 PM,8:00:00 PM,,10:00:00 PM,"Yes, medication that helps me sleep",0,"Relaxed, Physically active",1,
11/1/2022 8:18:01,2:00:00 PM,,,,No,1,"Stressful, Mentally active",2,Work
11/1/2022 23:04:15,4:00:00 PM,8:00:00 PM,11:00:00 AM,,"Yes, medication that helps me sleep",0,"Stressful, Mentally active, Socially active",1,
11/3/2022 22:23:36,4:00:00 PM,7:00:00 PM,1:00:00 PM,1:00:00 PM,"Yes, medication that helps me sleep",0,Mentally active,1,work
11/8/2022 5:19:04,3:00:00 PM,7:00:00 PM,,,"Yes, medication that helps me sleep",0,"Mentally active, Socially active",1,
11/10/2022 23:00:01,4:30:00 PM,5:00:00 PM,,,"Yes, medication that helps me sleep",0,Relaxed,1,
11/18/2022 0:21:11,5:00:00 PM,,,,No,0,Socially active,2,
