Timestamp,How refreshed did you wake up after your night of sleep?,"Is there anything important about or related to your night of sleep that might have affected your sleep quality? If yes, what?",Do you recall being awake for more than 10 minutes during the night?,"If you answered 'Yes' to the previous question, what did you do during this time?",Did anything in particular prevent you from sleeping earlier last night?,"If you answered ‘Yes’ to the previous question, what prevented you from sleeping earlier?",Did any external factors prevent you from sleeping better?,How did you wake up?,"How many minutes before bedtime did you stop exposing yourself to blue light? (bright phone, TV, etc)"
11/24/2022 6:35:03,6,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",No,,Nothing,Naturally,15 to 30 minutes
11/26/2022 7:26:54,7,,No,,No,,"Nothing, Noise",Naturally,15 to 30 minutes
11/28/2022 6:50:28,7,,No,,Yes,I think I ate too much sugar before bedtime ,Nothing,Naturally,Less than 15 minutes
11/29/2022 7:11:44,5,,Yes,I stayed in bed trying to sleep,No,,Nothing,Naturally,15 to 30 minutes
11/30/2022 8:11:25,7,,Yes,"I stayed in bed trying to sleep, I went to the toilet",Yes,Bath just before bed,Nothing,Naturally,15 to 30 minutes
12/2/2022 5:58:24,5,Blanket too warm ,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",No,,Temperature,With an alarm,15 to 30 minutes
12/3/2022 7:45:47,7,,No,I stayed in bed trying to sleep,No,,Nothing,Naturally,15 to 30 minutes
12/4/2022 9:39:14,7,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",No,,Nothing,Naturally,15 to 30 minutes
12/5/2022 6:57:15,7,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",No,,Nothing,Naturally,Less than 15 minutes
12/6/2022 8:08:21,6,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",No,,"Temperature, Cold",Naturally,Less than 15 minutes
12/7/2022 7:16:35,7,Partner,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",Yes,Partner,Nothing,Naturally,15 to 30 minutes
12/8/2022 6:35:12,7,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",No,,Nothing,Naturally,30 to 45 minutes
12/9/2022 7:36:02,7,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",No,,Nothing,Naturally,15 to 30 minutes
12/10/2022 7:20:09,6,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",No,,Nothing,Naturally,Less than 15 minutes
12/11/2022 7:51:33,7,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet",Yes,Maybe too much suger due to Sinterklaas ,Nothing,Naturally,More than 45 minutes
12/12/2022 7:17:17,5,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet, I read a book",No,,Nothing,Naturally,30 to 45 minutes
12/13/2022 7:15:37,6,,Yes,"I stayed in bed trying to sleep, I went to the toilet",No,,Nothing,Naturally,15 to 30 minutes
12/14/2022 6:56:20,5,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet, I read a book",No,,Nothing,Naturally,15 to 30 minutes
12/15/2022 6:30:34,7,,No,,No,,Nothing,Naturally,Less than 15 minutes
12/16/2022 6:29:24,6,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet, I read a book",No,,Nothing,With an alarm,Less than 15 minutes
12/18/2022 8:43:47,7,,Yes,"I stayed in bed trying to sleep, I went to the toilet",No,,Nothing,Naturally,More than 45 minutes
12/20/2022 7:26:25,5,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet, I read a book",No,,Nothing,Naturally,Less than 15 minutes
12/21/2022 7:49:06,6,,No,,No,,Nothing,Naturally,Less than 15 minutes
12/22/2022 7:31:41,5,,Yes,"I stayed in bed trying to sleep, I used a smart device (phone, laptop...), I went to the toilet, I read a book",No,,Nothing,Naturally,15 to 30 minutes
12/23/2022 6:20:16,4,,No,,Yes,Partner ,Nothing,Naturally,30 to 45 minutes
12/24/2022 7:28:43,5,,Yes,"I stayed in bed trying to sleep, I read a book",Yes,Partner,Temperature,Naturally,30 to 45 minutes
