Timestamp,"If you had coffee today, at what time did you take your last cup of coffee?","If you had alcohol today, at what time did you have your last drink?","If you did a workout today, at what time did your last workout end?","If you did a stress-relieving activity today (meditation, yoga, etc), at what time did you do your last one?",Did you take medication that might affect your sleep?,How much did you eat in the last 3 hours before going to bed?,How would you characterize the activities you did in the last 3 hours before going to bed?,How much stress and/or anxiety do you feel now?,Is there any particular reason why you think you might or might not sleep well tonight?
9/16/2022,15.5,,,,0,0,2 - 3 - 4,1,1
9/17/2022,14,,,,1,0,2 - 4,1,0
9/24/2022,14,19,,17,0,1,0,0,0
9/25/2022,13.5,,,,1,0,0,2,0
9/26/2022,16,21,,,1,2,1,5,0
9/27/2022,13.5,,20,,1,2,0 - 2,1,0
9/29/2022,13,18,,,1,0,1 - 2,1,0
10/1/2022,12,,,20,1,3,0,1,0
10/1/2022,12,18,,11,1,2,4,1,0
10/5/2022,15.5,19,,,0,1,1 - 3 - 4,0,1
10/6/2022,13,22,,,0,0,1 - 3 - 4,5,0
10/7/2022,16,,,,1,0,3 - 4,1,0
10/9/2022,16,,20,,1,0,2 - 3 - 4,3,0
10/11/2022,16,19,10,10,1,1,4,1,0
10/12/2022,15,20,,,0,0,2 - 3 - 4,5,1
10/13/2022,15,18,,,1,4,0 - 4,1,0
10/14/2022,14,20,21,22,0,0,0 - 2,0,0
10/24/2022,12,19,,,1,0,0 - 3 - 4,1,0
10/27/2022,14.5,,21,,1,0,0 - 2 - 3 - 4 ,1,0
10/30/2022,14,20,,22,1,0,0 - 2,1,0
10/31/2022,14,,,,0,1,1 - 4,2,1
11/1/2022,16,20,11,,1,0,1 - 3 - 4,1,0
11/3/2022,16,19,13,13,1,0,4,1,1
11/7/2022,15,19,,,1,0,3 - 4,1,0
11/10/2022,16.5,17,,,1,0,0,1,0
11/17/2022,17,,,,0,0,3,2,0
,,,,,,,,,
,,,,,,,0: Relaxed,,
,,,,,,,1: Stressful,,
,,,,,,,2: Physically active,,
,,,,,,,3: Socially active,,
,,,,,,,4: Mentally active,,
