Timestamp,"If you had coffee today, at what time did you take your last cup of coffee?","If you had alcohol today, at what time did you have your last drink?","If you did a workout today, at what time did you do your last workout?","If you did a stress-relieving activity today (meditation, yoga, etc), at what time did you do your last one?",Did you take medication that might affect your sleep?,How much did you eat in the last 3 hours before going to bed?,How would you characterize the activities you did in the last 3 hours before going to bed?,How much stress and/or anxiety do you feel now?,Is there any particular reason why you think you might or might not sleep well tonight?
6/18/2022,,,,,0,0,1 - 4,4,1
6/19/2022,,,,,0,0,1 - 4,4,0
6/20/2022,,,8.5,,0,0,0,3,0
6/21/2022,,,,,0,0,0 - 4,3,0
6/22/2022,11,,8,,0,3,0 - 3,3,0
6/23/2022,,,16,,0,0,0 - 4,3,0
6/24/2022,,,7.5,,0,0,1 - 4,2,0
6/25/2022,,,,,0,1,0,2,0
6/26/2022,,10,,,0,0,3,0,0
6/27/2022,,12.5,17,,0,0,3,0,0
6/28/2022,,2,,,0,0,3,0,0
6/29/2022,,1.5,,,0,0,3,0,0
7/1/2022,,,,,0,2,0,0,0
7/2/2022,,,11.5,,0,1,0,0,0
7/3/2022,,20,9,,0,2,0,0,0
7/4/2022,,18.5,,,0,0,1 - 4,3,1
7/5/2022,,18,,,0,4,3,2,0
7/6/2022,,,10,,0,0,0,2,0
7/7/2022,,20.5,,,0,2,0,2,0
7/8/2022,,20,,,0,3,0,1,0
7/9/2022,,11,,,0,5,3,1,0
7/10/2022,,2.5,9.5,,0,4,0,1,0
7/11/2022,,20,,,0,3,0,0,0
7/12/2022,,,12,,0,2,0 - 3,0,0
7/13/2022,,22.75,,,0,5,0 - 3,0,0
7/14/2022,,,,,0,1,0 - 3,0,0
7/15/2022,,22,12.5,,0,0,2 - 3,0,0
7/16/2022,,,,,0,4,0,3,0
7/17/2022,,20,,,0,3,0,1,0
7/18/2022,,21.25,9.5,,0,4,"0, 3",2,0
7/19/2022,,,17,,0,3,1 - 3,1,0
7/20/2022,,20.5,,,0,4,0 - 3,0,0
7/21/2022,,22,13,,0,3,0 - 3,0,0
7/22/2022,,20,,,0,5,0,0,0
7/23/2022,,12.75,,,0,2,0,0,0
7/24/2022,,14.25,9.5,,0,3,0 - 3,0,0
7/25/2022,,22.25,,,0,4,3,0,0
7/27/2022,,21,,,0,5,0,0,0
7/28/2022,,20.5,13,,0,0,1 - 2 - 3,0,0
7/29/2022,,20,,,0,0,0,0,0
7/30/2022,,20.5,17.25,,0,3,0,0,0
7/31/2022,,19,10.5,,0,3,0,0,0
8/1/2022,,,,,0,3,0,0,0
8/2/2022,,21.7,11.5,,0,3,0 - 3,0,0
8/3/2022,,21,10.25,,0,3,0,0,0
8/4/2022,,20.2,,,0,4,0,1,0
8/5/2022,,21.25,11.25,,0,0,1 - 3,0,0
8/6/2022,,,,,0,2,0,0,0
8/7/2022,,13.8,17.15,,0,2,0,0,0
8/8/2022,,,,,0,0,3,0,0
8/9/2022,,20.5,11,,0,1,0 - 3,0,0
8/10/2022,,,,,0,2,0,0,0
8/11/2022,,1,11.15,,0,0,1- 3 ,0,0
8/12/2022,,,,,0,2,3,0,0
8/13/2022,,20.25,12,,0,2,0,0,0
8/14/2022,,22.75,,,0,0,1 - 2 - 3,0,0
8/15/2022,,21,,,0,5,0,0,0
8/16/2022,,22,13,,0,0,3,0,0
8/17/2022,,,,,0,4,0,0,0
8/18/2022,,0.25,10.5,,0,0,1 - 2 - 3,2,0
8/19/2022,,13.5,,,0,0,1,0,0
