Timestamp,"If you had coffee today, at what time did you take your last cup of coffee?","If you had alcohol today, at what time did you have your last drink?","If you did a workout today, at what time did your last workout end?","If you did a stress-relieving activity today (meditation, yoga, etc), at what time did you do your last one?",Did you take medication that might affect your sleep?,How much did you eat in the last 3 hours before going to bed?,How would you characterize the activities you did in the last 3 hours before going to bed?,How much stress and/or anxiety do you feel now?,Is there any particular reason why you think you might or might not sleep well tonight?
9/25/2022 21:10:18,2:00:00 PM,,,,Melatonin ,2,Relaxed,2,Still recovering from covid
9/26/2022 21:02:37,2:30:00 PM,,,,Melatonin ,1,Relaxed,2,
9/27/2022 21:00:38,2:30:00 PM,,,,Melatonin ,1,"Relaxed, Mentally active",1,
9/28/2022 20:40:23,2:15:00 PM,,,,Melatonin ,2,Relaxed,1,
9/29/2022 21:00:59,2:30:00 PM,6:00:00 PM,,,Melatonin ,1,"Relaxed, Socially active",2,
9/30/2022 21:10:48,1:00:00 PM,6:00:00 PM,,,Melatonin ,2,"Relaxed, Socially active",1,
10/1/2022 21:30:34,4:00:00 PM,5:00:00 PM,,,Melatonin,2,Socially active,2,Long trip at night
10/2/2022 21:07:43,2:00:00 PM,5:00:00 PM,,,Melatonin ,2,Relaxed,1,
10/3/2022 21:10:53,3:00:00 PM,6:00:00 PM,,,Melatonin ,2,"Relaxed, Socially active",1,
10/4/2022 21:13:39,2:00:00 PM,,,,Melatonin ,2,Socially active,1,Sleep together
10/5/2022 21:29:59,2:00:00 PM,,,,Melatonin ,2,Socially active,1,Partner 
10/6/2022 21:04:10,1:00:00 PM,,,,Melatonin ,1,"Relaxed, Sleepy",1,
10/7/2022 20:56:06,11:00:00 AM,5:30:00 PM,,,Melatonin ,2,Relaxed,1,
10/8/2022 23:04:54,2:00:00 PM,5:00:00 PM,,,Melatonin ,0,"Relaxed, Physically active, Mentally active",1,
10/9/2022 21:13:42,3:00:00 PM,,6:30:00 PM,,Melatonin ,2,Relaxed,1,
